Site,Name,Sample,NewCode,Column3,Sample variability,Raw Material,State,Visibility,Accessability,Deposit,Type,Frequence,State of site,Observations,lat,long
Cabo S. Vicente,CSV ,CSV_1,SP1,1,Homogeneous,Other,Primary,Reasonable,Difficult,Outcrop,Nodule,Ponctual,Bad,,37.02249,-8.99638
Cabo S. Vicente,CSV,csv_2,SP2,2,Homogeneous,Chert,Primary,Reasonable,Difficult,,Nodule,Rare,Medium,,37.02239,-8.9963
Cabo S. Vicente,csv,csv_3,SP3,6,Homogeneous,Chert,Primary,Reasonable,,,Nodule,Ponctual,Good,,37.02324,-8.9954
Cabo S. Vicente,csv,csv_4,SP4,2,,Chert,Primary,Reasonable,Moderate,Outcrop,Bedded,Abundant,Medium,,37.0229,-8.9956
Cabo S. Vicente,csv,csv_5,SP5,3,,Chalcedony,Primary,Bad,Moderate,Outcrop,Nodule,Rare,Good,,37.02289,-8.99536
Cabo S. Vicente,csv,csv_6,SP6,,Variable,Chert,Primary,Good,Moderate,Outcrop,Bedded,Abundant,Good,,37.02294,-8.99541
Cabo S. Vicente,csv,csv_7,SP7,3,,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02327,-8.99521
Ponta dos Altos Este,pda-este,pda-e_1,SP8,,Variable,Chert,Primary,Bad,Moderate,Outcrop,Nodule,Ponctual,Good,,37.02737,-8.98043
Ponta dos Altos Este,pda este,pda-e_2,SP9,,Variable,Chert,Primary,Good,Moderate,Outcrop,Nodule,Abundant,Good,,37.02731,-8.98031
Ponta dos Altos Este,pda-e,pda-e_3,SP10,,Homogeneous,Chert,Primary,Good,,Outcrop,Nodule,Abundant,Good,,37.02727,-8.98022
Pousada do Infante,nyx,nyx_1,SP11,3,,Other,Isolated find,Good,Easy,,Rounded pebble,Rare,,,37.00468,-8.93353
Praia do Belixe,blx,blx_1,SP12,2,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Ponctual,Medium,,37.02599,-8.9632
Praia do Belixe,blx,blx_2,SP13,3,Variable,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02626,-8.96377
Praia do Belixe,blx,blx_3,SP14,,Variable,Chert,Primary,Good,Easy,Outcrop,,Abundant,Good,,37.02609,-8.96346
Praia do Belixe,blx,blx_4,SP15,1,,Chert,Primary,Good,Easy,Outcrop,Bedded,Abundant,Good,,37.02623,-8.96391
Praia do Belixe,blx,blx_5,SP16,,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02606,-8.96411
Praia do Belixe,blx,blx_6,SP17,,Variable,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02637,-8.96526
Praia do Belixe,blx,blx_7,SP18,,Variable,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02663,-8.96717
Praia do Belixe,blx_topo,blx_topo_1,SP19,,Variable,Chert,Primary,Reasonable,Moderate,Outcrop,Nodule,Rare,Medium,,37.02625,-8.96421
Belixe Sul,bls,bls_1,SP20,,Variable,Chert,Secundary,Good,Easy,Soil,Rounded pebble,Abundant,Bad,Small pieces,37.02818,-8.96326
Belixe Sul,bls,bls_2,SP21,,Variable,Chert,Secundary,Good,Easy,Soil,Nodule,Abundant,,Bigger chunks,37.02784,-8.96343
Belixe Sul,bls,bls_3,SP22,,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Ponctual,Good,,37.0278,-8.96342
Belixe Norte,bln,bln_1,SP23,,Variable,Chert,Secundary,Good,Easy,Slope deposit,Nodule,Abundant,Bad,Less than bls,37.03654,-8.96175
Cabo S. Vicente,csv,csv_7,SP24,,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Ponctual,Bad,,37.02342,-8.99481
Cabo S. Vicente,csv,csv_8,SP25,,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Rare,Bad,,37.02273,-8.99385
Cabo S. Vicente,cvs,cvs_9,SP26,,Homogeneous,Chert,Secundary,Good,Easy,Outcrop,Rounded pebble,Abundant,Medium,,37.02353,-8.99455
Cabo S. Vicente,csv,csv_10,SP27,,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Rare,Medium,,37.02254,-8.99352
Aspa,aspa,aspa_1,SP28,,Variable,Chert,Primary,Good,Moderate,Outcrop,Nodule,Ponctual,Medium,,37.02791,-8.99109
Aspa,aspa,aspa_2,SP29,,Variable,Chert,Secundary,Good,Easy,Outcrop,Nodule,Abundant,Medium,,37.02719,-8.99076
Foz dos Fornos,fzf,fzf_1,SP30,,Homogeneous,Chert,Primary,Good,Easy,Outcrop,Nodule,Rare,Good,,37.02466,-8.98959
Foz dos Fornos,fzf,fzf_2,SP31,,Variable,Chert,Secundary,Good,Easy,Outcrop,Nodule,Abundant,Good,"Very small, abundant pieces",37.02465,-8.98963
Foz dos Fornos,fzf,fzf_3,SP32,,Variable,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Good,,37.02446,-8.98989
Foz dos Fornos,fzf,fzf_4,SP33,,Variable,Chert,Primary,Good,Moderate,Outcrop,Nodule,Abundant,Good,,37.02444,-8.98969
Ponta dos Altos Este 2,pda-este-2,pda-este-_1,SP34,,Variable,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Bad,Primario em desmantelamento,37.02671,-8.9795
Belixe,blx,blx_8,SP35,,Homogeneous,Chert,Isolated find,Good,Easy,,Nodule,,Bad,,37.02642,-8.9688
Ponta da Atalaia,pta,pta_1,SP36,2,Variable,Chert,Isolated find,Good,Easy,,,Rare,Bad,,37.00231,-8.9313
Ponta da Atalaia,pta,pta_2,SP37,,Variable,Chert,Secundary,Good,Easy,Slope,Nodule,Abundant,Bad,,37.00455,-8.93335
Tabual,Tabual,tabual_1,SP38,,Variable,Other,Secundary,Good,Easy,,,Ponctual,,,37.07762,-8.8776
Andorinha,Andorinha,andorinha_1,SP39,,Homogeneous,Chert,Secundary,Reasonable,Difficult,Slope deposit,Nodule,Ponctual,Bad,,37.05941,-8.85058
Ferrel,Ferrel,Ferrel_1,SP40,,Variable,Chert,Primary,Good,Easy,Outcrop,Nodule,Abundant,Bad,em desmantelamento,37.11245,-8.72567
